Módulo,Operação,Tarefa,ID (mapeamento),Projeto,ID_US,DESC_US,ID_Task,DESC_Task,Tipo,Mapeado? (SIM ou NAO),Origem
Cadastro,Inserir_dados,Fazer validação de dados no cliente,74,NewPCS,#14935,Configuração da diferença residual,#36590,Criação de validação,Negocio,Sim,Virtus
Cadastro,Recuperação_de_dados,Criar filtro para listagem,75,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36614,Definição de Campo principal na listagem do MiniCrud,Negocio,Sim,Virtus
Cadastro,X,X,76,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36615,Correção na Loading Animation,Tecnica,Nao,Virtus
Cadastro,Recuperação_de_dados,Expandir informações de item da listagem,77,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36616,Definir destaque do 'Radio' selecionado no MiniCrud,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,78,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36617,Desabilitar Exclusão Individual,Negocio,Sim,Virtus
Cadastro,Recuperação_de_dados,Criar ordenação para listagem,79,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36618,Adequar ordenação dos MiniCrud's,Negocio,Sim,Virtus
Cadastro,X,X,80,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36619,Ajustar valor do Swap no MiniCrud,Negocio,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar validação de dados no cliente,81,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36620,Ajustar validação do Swap,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar validação de dados no cliente,82,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36628,Validação no MiniCrud,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,83,NewPCS,#14887,Ajustes nos Componentes MiniCrud e Swap,#36827,Desabilitar accordions quando não houver commodity selecionado,Negocio,Sim,Virtus
X,X,X,84,NewPCS,#14893,Alterações em Event Log,#36683,Remover Id da exibição dos Logs,Negocio,Nao,Virtus
X,X,X,85,NewPCS,#14893,Alterações em Event Log,,Exibir mais detalhes sobre os registros nas ações de Modificar  CFOP,Negocio,Nao,Virtus
X,X,X,86,NewPCS,#14893,Alterações em Event Log,,"Exibir mais detalhes sobre os registros nas ações de Modificar, Inserir e Deletar Detached Record",Negocio,Nao,Virtus
X,X,X,87,NewPCS,#14893,Alterações em Event Log,,"Exibir mais detalhes sobre os registros nas ações de Modificar, Inserir e Deletar Commodity Interchange",Negocio,Nao,Virtus
X,X,X,88,NewPCS,#14893,Alterações em Event Log,,Exibir mais detalhes sobre os registros nas ações de Modificar Part,Negocio,Nao,Virtus
X,X,X,89,NewPCS,#14893,Alterações em Event Log,,Exibir mais detalhes sobre os registros nas ações de Modificar e Inserir Commodity Config - Obligation,Negocio,Nao,Virtus
X,X,X,90,NewPCS,#14893,Alterações em Event Log,,Exibir mais detalhes sobre os registros nas ações de Modificar e Inserir Commodity Config - Exchange Rate Limit,Negocio,Nao,Virtus
X,X,X,91,NewPCS,#14893,Alterações em Event Log,,Exibir mais detalhes sobre os registros nas ação de Inserir - Surplus,Negocio,Nao,Virtus
X,X,X,92,NewPCS,#14893,Alterações em Event Log,,Exibir mais detalhes sobre os registros nas ações de Modificar e Inserir Commodity Config - Exemption,Negocio,Nao,Virtus
X,X,X,93,NewPCS,#14893,Alterações em Event Log,,Exibir mais detalhes sobre os registros nas ações de Modificar e Inserir Commodity Config - Residual Difference,Negocio,Nao,Virtus
X,X,X,94,NewPCS,#14888,Desenvolvimento do componente ChoicesFilterKey,,Análise de solução,Tecnica,Nao,Virtus
Cadastro,Inserir_dados,Criar método de inserção,95,NewPCS,#14888,Desenvolvimento do componente ChoicesFilterKey,#36976,[Frontend] Implementação do novo componente no frontend,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,96,NewPCS,#14888,Desenvolvimento do componente ChoicesFilterKey,#37121,[Backend] Implementar modificações na inserção de dados no framework,Negocio,Sim,Virtus
Cadastro,Inserir_dados,Fazer chamada para tela de inserção,97,NewPCS,#14888,Desenvolvimento do componente ChoicesFilterKey,#37122,[Frontend] Implementar chamadas às APIs geradas,Negocio,Sim,Virtus
X,X,X,98,NewPCS,#14936,Implementar exclusão de configurações em cascata,#36692,Criar carga inicial (Dump) para o banco,Tecnica,Nao,Virtus
X,X,X,99,NewPCS,#14936,Implementar exclusão de configurações em cascata,,Criar Trigger para exclusão das configurações de portaria,Tecnica,Nao,Virtus
X,X,X,100,NewPCS,#14936,Implementar exclusão de configurações em cascata,,Alinhar comportamento com Stakeholders,Gerencial,Nao,Virtus
Cadastro,Inserir_dados,Criar tela inserção,101,NewPCS,#14924,Duplicação de Configuração de Portaria,#36689,Criar FormAction DuplicateOrdinance,Negocio,Sim,Virtus
Cadastro,Recuperação_de_dados,Recuperar dados do banco de dados,102,NewPCS,#14924,Duplicação de Configuração de Portaria,#36690,Buscar as referências da Portaria que será duplicada,Negocio,Sim,Virtus
Cadastro,Inserir_dados,Consumir serviço para inserção,103,NewPCS,#14924,Duplicação de Configuração de Portaria,#36691,Criar service para duplicar os dados das portarias,Negocio,Sim,Virtus
X,X,X,104,NewPCS,#14923,Importação das NFs do PPB Link,#36691,Criar/atualizar Job para realizar a importação,Negocio,Nao,Virtus
X,X,X,105,NewPCS,#14923,Importação das NFs do PPB Link,#36691,Criação das tabelas de persistência dos dados raw,Negocio,Nao,Virtus
X,X,X,106,NewPCS,#14923,Importação das NFs do PPB Link,#36691,Criação das tabelas de mock do PPB Link,Negocio,Nao,Virtus
X,X,X,107,NewPCS,#14923,Importação dos dados de produção do SFIS,#36691,Definir formato final dos dados de produção relacionado ao SKU e Part Numbers relacionados,Negocio,Nao,Virtus
X,X,X,108,NewPCS,#14923,Importação dos dados de produção do SFIS,#36691,Criar/atualizar Job para realizar a importação,Negocio,Nao,Virtus
X,X,X,109,NewPCS,#14923,Processamento inicial de NF (Validação de dados),#36691,Chamar o processamento em lote das NF no evento de importação de novas NF (se houver),Negocio,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar validação de dados no cliente,110,NewPCS,#14923,Validação de Campos Excludentes,#36687,Ajustar validações no FrontEnd,Negocio,Sim,Virtus
X,X,X,111,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (Commodity),Tecnica,Nao,Virtus
X,X,X,112,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (Part Number),Tecnica,Nao,Virtus
X,X,X,113,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (CFOP),Tecnica,Nao,Virtus
X,X,X,114,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (SKU),Tecnica,Nao,Virtus
X,X,X,115,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (NCM),Tecnica,Nao,Virtus
X,X,X,116,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (Produto),Tecnica,Nao,Virtus
X,X,X,117,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (Master Customer),Tecnica,Nao,Virtus
X,X,X,118,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (Comercial Name),Tecnica,Nao,Virtus
X,X,X,119,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (Customer),Tecnica,Nao,Virtus
X,X,X,120,NewPCS,#14942,Criação dos testes unitários de integração com o Protheus,#36687,Criação dos testes unitários de integração com o Protheus (Supplier),Tecnica,Nao,Virtus
Cadastro,Inserir_dados,Criar tela inserção,121,NewPCS,#36703,Criar Compensation List,#36703,[Frontend] Criar componente de visualização de preview,Negocio,Sim,Virtus
Cadastro,Inserir_dados,Consumir serviço para inserção,122,NewPCS,#36703,Criar Compensation List,#36704,[Frontend] Implementar infraestrutura de chamada à api,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar rota de inserção de dados,123,NewPCS,#36703,Criar Compensation List,#37204,[Backend] Adicionar suporte do componente de 'Preview' ao framework,Negocio,Sim,Virtus
