bug_id,severity,spec_id,name
9484,MEDIUM,41,Desinstalar aplicativo Software Quality Check
9589,LOW,3728,Login form validation
9505,MEDIUM,7398,Ações do botão back - Mobile
9605,MEDIUM,3790,Adicionar nova peça de referência
9446,MEDIUM,7139,Recuperar senha sucesso
9461,LOW,7111,Preenchimento do Campo Nome
9461,LOW,7161,Criar uma nova Conta com sucesso
9619,HIGH,3801,Listar peças de referência
9416,MEDIUM,7161,Criar uma nova Conta com sucesso
9416,MEDIUM,7162,Editar uma Senha com sucesso
9416,MEDIUM,7139,Recuperar senha sucesso
9366,MEDIUM,41,Desinstalar aplicativo Software Quality Check
9413,LOW,7139,Recuperar senha sucesso
9413,LOW,7141,Tentar recuperar senha com Código de validação invalido
9650,LOW,7646,"Validações no campo ""filtro"" 9657,MEDIUM,52,""Comparação de modelos"
9617,CRITICAL,3790,Adicionar nova peça de referência
9522,MEDIUM,7393,"Preenchimento do campo ""Google Analytics Tracking ID"" durante a edição do ""App"" 9713,HIGH,40,""Instalar aplicativo Software Quality Check"
9640,LOW,7111,Preenchimento do Campo Nome
9640,LOW,7112,Preenchimento do Campo Senha
9640,LOW,7113,Preenchimento do Campo E-mail
9129,LOW,52,Comparação de modelos
9548,LOW,7133,Login com dados válidos
9548,LOW,7161,Criar uma nova Conta com sucesso
9554,LOW,7350,Exibição das respostas da enquete no card do convidado
9555,HIGH,7233,Inspeção de usabilidade do botão Fab nas telas de listagem com possibilidade de fechar o sub-menu
9557,LOW,7350,Exibição das respostas da enquete no card do convidado
9559,LOW,7350,Exibição das respostas da enquete no card do convidado
9564,MEDIUM,7374,Filtrar push por campanha
9594,HIGH,7233,Inspeção de usabilidade do botão Fab nas telas de listagem com possibilidade de fechar o sub-menu
9547,LOW,7147,Exclusão de Eventos Globais
9549,CRITICAL,7433,Cadastrar Push com sucesso para um App Application
9549,CRITICAL,7471,Exibição da lista de Pushs e destinatários do envio
9545,MEDIUM,7463,Exclusão de evento global com usuário sem permissão
9663,MEDIUM,4599,[Chapter] Validate execution of the test specification
9662,MEDIUM,4599,[Chapter] Validate execution of the test specification
9656,LOW,7646,"Validações no campo ""filtro"" 9661,MEDIUM,7629,""Exibição dos dados de criação e atualização dos tests specifications"
9649,LOW,7629,Exibição dos dados de criação e atualização dos tests specifications
9646,LOW,7629,Exibição dos dados de criação e atualização dos tests specifications
9647,MEDIUM,4592,Creation of a test cycle
9645,MEDIUM,7630,Alterar modo de configuração do projeto
9498,HIGH,7198,Permissões de usuários associado a administrador para Convidados(Eventos)
9510,MEDIUM,4246,Cadastro com dados inválidos - autenticação
9510,MEDIUM,4005,Cadastro de usuário com dados válidos
9099,MEDIUM,4555,Editar plano SLA com dados inválidos
9449,LOW,6575,Breadcrumb no sistema
9440,MEDIUM,6588,Ordenação de colunas
9139,HIGH,6346,Excluir papéis do laboratório
9351,HIGH,6741,Formulário de contratação - dinâmico
9579,LOW,7375,Remoção de itens
9579,LOW,7377,Modificar um registro
9579,LOW,7355,PPB License válida
9582,LOW,6196,Exibir opções de filtro
9651,LOW,6955,Exibir opções de filtro
9616,LOW,7354,Exibir opções de filtro
9608,LOW,7361,"Inserir item ""PPB License"" já existente"
9608,LOW,7379,Modificar registro com as mesmas informações que um valor já existente
9581,LOW,6188,Colunas existentes no formulário Custormers
9675,LOW,7006,Limite de caracteres para os filtros
9638,LOW,7381,Limite de caracteres para a modificação
9638,LOW,7368,Limite de caracteres para Cadastro
9344,HIGH,6742,Tipo de contrato - obrigatório
9203,MEDIUM,6930,Exportar lista de convidados do evento com enquete
9702,MEDIUM,7120,Editar convidado com sucesso
9740,HIGH,7572,Permissões de usuário associado a Administrador
9624,LOW,6260,Limite de caracteres para os filtros
9610,LOW,7354,Exibir opções de filtro
9610,LOW,7362,Colunas existentes no formulário
9606,CRITICAL,3790,Adicionar nova peça de referência
9683,MEDIUM,7222,Remover registro de Customer
9621,MEDIUM,6954,Aplicar Filtro com sucesso
9621,MEDIUM,6960,Aplicar Filtro com todos os campos preenchidos
9621,MEDIUM,6961,Aplicar Filtro com dados inválidos
9621,MEDIUM,6967,Exportação com filtro aplicado
9672,LOW,7057,Inserir SKU Inválido
9642,LOW,6980,Colunas existentes no formulário SKU
9678,MEDIUM,7193,Inserir registro de Customer
9678,MEDIUM,7224,Inserir Customer excedendo limite de caracteres
9678,MEDIUM,7225,Modificar Customer excedendo limite de caracteres
9678,MEDIUM,7200,Modificar registro de Customer
9540,LOW,7189,Limite de caracteres para os campos dos filtros
9535,MEDIUM,7307,Filtrar com dados válidos
9535,MEDIUM,7309,Filtrar com todos os campos preenchidos
9535,MEDIUM,7320,Exportar com filtro aplicado
9633,MEDIUM,6952,Atualizar Formulário
9633,MEDIUM,6966,Acurácia do formulário exportado
9633,MEDIUM,6975,Exportação com dados ordenados por coluna
9633,MEDIUM,6950,Número de itens exibido na tabela
9631,MEDIUM,7375,Remoção de itens
9659,MEDIUM,7025,Inserir um Part com sucesso
9659,MEDIUM,7036,Modificar um Part com Limite inválido de caracteres
9673,MEDIUM,7035,Inserir um Part com Limite inválido de caracteres
9673,MEDIUM,7036,Modificar um Part com Limite inválido de caracteres
9872,LOW,7877,Listagem de riscos
9756,LOW,3761,Delete user
9760,LOW,6613,Test email server
9759,LOW,3728,Login form validation
9750,LOW,3727,Login with unknown credentials
9871,LOW,4649,Conformance Test Session
9870,LOW,4649,Conformance Test Session
9864,LOW,7880,Remover regra
9852,MEDIUM,7876,Edição de Risco
9809,HIGH,7739,Ações para convidado participante de evento global removido no Gamma
9809,HIGH,7750,Inspeção de usabilidade para tratamento de exclusão de evento global (convidado)
9116,LOW,3205,Card de histórico de envios de e-mail do convidado
9848,LOW,7877,Listagem de riscos
9784,LOW,6939,Name arrow coming from GET DIGITS with input validation
9502,HIGH,7220,Permissões de usuários associado a administrador para Super Administrador(Eventos)
9776,LOW,6871,Insert SWITCH
9563,LOW,5900,Criar Campanha
9721,MEDIUM,7149,Ações de criação de dados após exclusão de eventos globais
9728,LOW,7433,Cadastrar Push com sucesso para um App Application
9769,MEDIUM,6607,Edit SAY NUMBER parameters
9768,MEDIUM,6603,Edit SAY DIGITS parameters
9761,LOW,6613,Test email server
9761,LOW,3732,Create and View User
9743,LOW,7149,Ações de criação de dados após exclusão de eventos globais
9904,CRITICAL,53,Exibição de modelo escaneado
9169,LOW,6900,Edit CUSTOM APP parameters
9868,LOW,4323,Internationalization Session Test
9737,MEDIUM,7201,Permissões de usuários associado a administrador para Administrador(Eventos)
9890,CRITICAL,7120,Editar convidado com sucesso
9818,MEDIUM,2897,Validações do campo E-mail durante a criação de convidados
9553,CRITICAL,6121,Login com dados válidos
8889,HIGH,6202,Opções de streaming para usuário receptor
8889,HIGH,6247,Acessar e sair de sala de streaming com perfis distintos
8889,HIGH,7127,Visualizar objeto 3D
8889,HIGH,7125,Ações de visualizar objeto 3D para técnico de suporte
8889,HIGH,7130,Enviar objeto 3D
8889,HIGH,7145,Cards de envio de objeto 3D
9919,LOW,4033,Create and View API server
9915,LOW,5064,Get active projects
9566,MEDIUM,3775,Create organization with previously registered name
9947,HIGH,7399,Criação automática de SHIPPING SSN
9506,MEDIUM,6122,Envio de e-mail ao esquecer senha
8883,HIGH,6201,Criar sala [Suporte]
8883,HIGH,6265,Notificação quando não existirem mais participantes
8883,HIGH,6266,Opções de finalização de streaming
8883,HIGH,6197,Opções de streaming para usuário transmissor
8883,HIGH,7127,Visualizar objeto 3D
8883,HIGH,7125,Ações de visualizar objeto 3D para técnico de suporte
8883,HIGH,7130,Enviar objeto 3D
8883,HIGH,7145,Cards de envio de objeto 3D
8883,HIGH,6202,Opções de streaming para usuário receptor
9827,HIGH,7143,Realizar Decrease em todos os itens
9873,LOW,7160,Decrease com a MO fechada ou finalizada
9910,MEDIUM,8072,Limite de caracteres para os campos dos filtros
9837,HIGH,7223,Realizar decrease e fechar a MO automaticamente
9948,HIGH,7407,MO On Line com campo obrigatório vazio ou inválido (C16 - SMT)
9955,HIGH,7346,Verificações obrigatórias ao colocar a MO On Line
9953,HIGH,7409,MO On Line com campo obrigatório vazio ou inválido (A31 - SMT)
9953,HIGH,7424,MO On Line com campo obrigatório vazio ou inválido (ABO - SMT)
9953,HIGH,7418,Mo On Line com campo obrigatório vazio ou inválido (ABO - AP)
9751,LOW,3732,Create and View User
9751,LOW,6613,Test email server
9747,LOW,3731,Associate user with organization
9747,LOW,3739,Associate organization with user
9803,MEDIUM,7742,Ações para admin/host participante de evento global removido no Gamma
9803,MEDIUM,7746,Inspeção de usabilidade para tratamento de exclusão de evento global
9807,LOW,7739,Ações para convidado participante de evento global removido no Gamma
9883,LOW,7739,Ações para convidado participante de evento global removido no Gamma
9883,LOW,7750,Inspeção de usabilidade para tratamento de exclusão de evento global (convidado)
9902,HIGH,35,Excluir peça de referência
9805,MEDIUM,7742,Ações para admin/host participante de evento global removido no Gamma
9805,MEDIUM,7746,Inspeção de usabilidade para tratamento de exclusão de evento global
9928,LOW,4455,Name arrow coming from MENU
9775,LOW,6320,Edit GOTOIF parameters with input validation
9749,LOW,3732,Create and View User
9349,MEDIUM,6937,Edit GET DIGITS parameters with input validation
9690,HIGH,53,Exibição de modelo escaneado
9981,HIGH,7407,MO On Line com campo obrigatório vazio ou inválido (C16 - SMT)
9998,HIGH,7424,MO On Line com campo obrigatório vazio ou inválido (ABO - SMT)
9538,MEDIUM,7289,Acurácia do formulário exportado
9912,MEDIUM,8114,Remover key part inexistente
9912,MEDIUM,8115,Remover Parts Map inexistente via Protheus
9543,MEDIUM,5028,Acurácia do formulário exportado
10006,HIGH,8147,Verificar se é possível colocar MO de On Line para On Line sem informar um dos campos obrigatórios para o cliente C16.
9997,MEDIUM,8168,Modificar uma MO deixando uma rota inválida antes de tentar colocar on line para on line
9988,HIGH,8171,Manter o valor do status (close flag) da MO
9985,HIGH,7554,MO Online faltando um Check Custom Info YES na lista de BOM's
9938,MEDIUM,7398,Ações do botão back - Mobile
9995,HIGH,7409,MO On Line com campo obrigatório vazio ou inválido (A31 - SMT)
9995,HIGH,7546,MO On Line com lista de BOM vazia/não vazia para todos os clientes e áreas
9995,HIGH,8153,Verificar se é possível colocar MO de On Line para On Line sem informar um dos campos obrigatórios para o cliente A31
