Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
0.8,0.3333333333333333,0.3773584905660377,cosine_False_1,1,cosine,nao
0.625,0.625,0.625,cosine_False_1,1,cosine,nao
0.125,0.14285714285714285,0.1388888888888889,cosine_False_1,1,cosine,nao
0.2857142857142857,1.0,0.6666666666666666,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
0.6,0.5,0.5172413793103449,cosine_False_1,1,cosine,nao
0.6,1.0,0.8823529411764706,cosine_False_1,1,cosine,nao
0.1111111111111111,0.5,0.29411764705882354,cosine_False_1,1,cosine,nao
0.125,0.5,0.3125,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.5,0.3333333333333333,0.3571428571428571,cosine_False_1,1,cosine,nao
0.5,0.6,0.5769230769230769,cosine_False_1,1,cosine,nao
1.0,0.2857142857142857,0.3333333333333333,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
1.0,0.5,0.5555555555555556,cosine_False_1,1,cosine,nao
0.5,0.6,0.5769230769230769,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
1.0,0.4444444444444444,0.5,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
0.5,0.6,0.5769230769230769,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.125,0.3333333333333333,0.25,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.5,0.6666666666666666,0.625,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
0.8,0.5,0.5405405405405405,cosine_False_1,1,cosine,nao
0.125,0.2,0.17857142857142858,cosine_False_1,1,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
0.8,0.6666666666666666,0.689655172413793,cosine_False_1,1,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_1,1,cosine,nao
1.0,0.7142857142857143,0.7575757575757576,cosine_False_1,1,cosine,nao
1.0,0.7142857142857143,0.7575757575757576,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
1.0,0.7142857142857143,0.7575757575757576,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
0.8,0.6666666666666666,0.689655172413793,cosine_False_1,1,cosine,nao
0.9,1.0,0.9782608695652175,cosine_False_1,1,cosine,nao
0.75,0.75,0.75,cosine_False_1,1,cosine,nao
1.0,0.7142857142857143,0.7575757575757576,cosine_False_1,1,cosine,nao
0.6,1.0,0.8823529411764706,cosine_False_1,1,cosine,nao
0.9,1.0,0.9782608695652175,cosine_False_1,1,cosine,nao
0.75,0.75,0.75,cosine_False_1,1,cosine,nao
1.0,0.7142857142857143,0.7575757575757576,cosine_False_1,1,cosine,nao
0.9,1.0,0.9782608695652175,cosine_False_1,1,cosine,nao
0.75,0.6666666666666666,0.6818181818181819,cosine_False_1,1,cosine,nao
1.0,0.625,0.6756756756756757,cosine_False_1,1,cosine,nao
0.8,1.0,0.9523809523809523,cosine_False_1,1,cosine,nao
1.0,0.625,0.6756756756756757,cosine_False_1,1,cosine,nao
0.625,0.7142857142857143,0.6944444444444444,cosine_False_1,1,cosine,nao
0.5555555555555556,1.0,0.8620689655172413,cosine_False_1,1,cosine,nao
0.75,0.8571428571428571,0.8333333333333333,cosine_False_1,1,cosine,nao
1.0,0.625,0.6756756756756757,cosine_False_1,1,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_1,1,cosine,nao
1.0,0.9,0.9183673469387754,cosine_False_1,1,cosine,nao
0.75,0.75,0.75,cosine_False_1,1,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_1,1,cosine,nao
1.0,0.625,0.6756756756756757,cosine_False_1,1,cosine,nao
1.0,0.9,0.9183673469387754,cosine_False_1,1,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
0.7777777777777778,1.0,0.945945945945946,cosine_False_1,1,cosine,nao
0.75,0.75,0.75,cosine_False_1,1,cosine,nao
1.0,0.625,0.6756756756756757,cosine_False_1,1,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_1,1,cosine,nao
0.4444444444444444,0.8,0.6896551724137933,cosine_False_1,1,cosine,nao
0.6666666666666666,0.3333333333333333,0.3703703703703703,cosine_False_1,1,cosine,nao
0.8333333333333334,1.0,0.9615384615384615,cosine_False_1,1,cosine,nao
0.3333333333333333,0.2857142857142857,0.2941176470588235,cosine_False_1,1,cosine,nao
0.8333333333333334,0.7142857142857143,0.7352941176470589,cosine_False_1,1,cosine,nao
0.3333333333333333,0.25,0.2631578947368421,cosine_False_1,1,cosine,nao
0.8,0.6666666666666666,0.689655172413793,cosine_False_1,1,cosine,nao
0.8333333333333334,0.5555555555555556,0.5952380952380952,cosine_False_1,1,cosine,nao
0.3333333333333333,0.2222222222222222,0.23809523809523808,cosine_False_1,1,cosine,nao
0.8,0.8,0.8,cosine_False_1,1,cosine,nao
