ID,Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
1,0.5,375,0.631578947368421,cosine_False_1,1,cosine,nao
2,375,0.21428571428571427,375,cosine_False_1,1,cosine,nao
3,0.7142857142857143,0.5,0.851063829787234,cosine_False_1,1,cosine,nao
4,0.6,0.6,0.96,cosine_False_1,1,cosine,nao
5,0.8571428571428571,0.75,1.2307692307692306,cosine_False_1,1,cosine,nao
6,0.3333333333333333,0.5,0.7272727272727273,cosine_False_1,1,cosine,nao
7,0.2,1.0,0.888888888888889,cosine_False_1,1,cosine,nao
8,0.16666666666666666,0.3333333333333333,0.4444444444444444,cosine_False_1,1,cosine,nao
9,0.6,0.6,0.96,cosine_False_1,1,cosine,nao
10,0.3333333333333333,0.5,0.7272727272727273,cosine_False_1,1,cosine,nao
11,1.0,875,1.435897435897436,cosine_False_1,1,cosine,nao
12,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
13,0.6,0.5,0.8275862068965517,cosine_False_1,1,cosine,nao
14,0.6666666666666666,0.3333333333333333,0.5925925925925926,cosine_False_1,1,cosine,nao
15,0.8571428571428571,1.0,1.5483870967741933,cosine_False_1,1,cosine,nao
16,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
17,0.16666666666666666,0.3333333333333333,0.4444444444444444,cosine_False_1,1,cosine,nao
18,0.6,375,0.6486486486486486,cosine_False_1,1,cosine,nao
19,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
20,1.0,0.09090909090909091,0.17777777777777778,cosine_False_1,1,cosine,nao
21,0.75,0.8571428571428571,1.3333333333333333,cosine_False_1,1,cosine,nao
22,125,0.3333333333333333,0.4,cosine_False_1,1,cosine,nao
23,375,0.42857142857142855,0.6666666666666666,cosine_False_1,1,cosine,nao
24,0.2,1.0,0.888888888888889,cosine_False_1,1,cosine,nao
25,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
26,375,375,0.6,cosine_False_1,1,cosine,nao
27,0.2,1.0,0.888888888888889,cosine_False_1,1,cosine,nao
28,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
29,0.25,1.0,1.0,cosine_False_1,1,cosine,nao
30,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
31,0.2,1.0,0.888888888888889,cosine_False_1,1,cosine,nao
32,625,0.4166666666666667,0.7142857142857144,cosine_False_1,1,cosine,nao
33,1.0,0.75,1.263157894736842,cosine_False_1,1,cosine,nao
34,0.8333333333333334,0.4166666666666667,0.7407407407407408,cosine_False_1,1,cosine,nao
35,0.16666666666666666,0.5,0.5714285714285715,cosine_False_1,1,cosine,nao
36,0.5,0.3333333333333333,0.5714285714285714,cosine_False_1,1,cosine,nao
37,0.16666666666666666,0.14285714285714285,0.23529411764705882,cosine_False_1,1,cosine,nao
38,0.2,0.25,0.38095238095238093,cosine_False_1,1,cosine,nao
39,1.0,0.1111111111111111,0.21621621621621623,cosine_False_1,1,cosine,nao
