Project;User_Story;Developed;Recommended;Merge;Status;Relevance;Rejection_reason;Date
Smart Classroom;Edit Profile;;Verificar se todos os dados da <entidade> estão sendo exibidos;Verificar se todos os dados da <entidade> estão sendo exibidos;Accepted;Low;;4/20/2021
Smart Classroom;Edit Profile;;Salvar com data inical maior que data final;Salvar com data inical maior que data final;Rejected;;Not possible;4/20/2021
Smart Classroom;Edit Profile;;Editar entidade alterando o ID para um existente;Editar entidade alterando o ID para um existente;Rejected;;Business compliance;4/20/2021
Smart Classroom;List Proflies;;Listar todas as <entidades> com sucesso;Listar todas as <entidades> com sucesso;Accepted;High;;4/20/2021
Smart Classroom;List Proflies;Validar Componentes da Listagem de Perfis;Verificar presença de campos retornados;Validar Componentes da Listagem de Perfis;Reuse;;;4/20/2021
Smart Classroom;List Proflies;;Validar resultado da consulta de <entidade> sem dados;Validar resultado da consulta de <entidade> sem dados;Accepted;Medium;;4/20/2021
Smart Classroom;List Proflies;Validar Paginação de Perfis;Verificar paginação;Validar Paginação de Perfis;Reuse;;;4/20/2021
Smart Classroom;List Proflies;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;4/20/2021
Smart Classroom;List Proflies;Pesquisar Perfil;Validar resultado da consulta (filtro) de <entidade>;Pesquisar Perfil;Reuse;;;4/20/2021
Smart Classroom;List Proflies;Visualizar Perfil;Visualizar dados da <entidade>;Visualizar Perfil;Reuse;;;4/20/2021
Smart Classroom;List Proflies;;Executar ação sem ter feito login;Executar ação sem ter feito login;Rejected;;Business compliance;4/20/2021
Smart Classroom;List Proflies;Ordenar Perfis;;Ordenar Perfis;Developed;;;4/20/2021
Smart Classroom;List Proflies;Desativar/Ativar Perfil;;Desativar/Ativar Perfil;Developed;;;4/20/2021
RiskControl;Register techonologies;Cadastrar Entidade com sucesso;Cadastrar Entidade com sucesso;Cadastrar Entidade com sucesso;Reuse;;;4/20/2021
RiskControl;Register techonologies;Cancelar cadastro de Entidade com sucesso;Cancelar cadastro de Entidade com sucesso;Cancelar cadastro de Entidade com sucesso;Reuse;;;4/20/2021
RiskControl;Register techonologies;;Cadastrar Entidade com ID existente;Cadastrar Entidade com ID existente;Rejected;;Business compliance;4/20/2021
RiskControl;Register techonologies;Cadastrar Entidade sem campos obrigatórios preenchidos;Cadastrar Entidade sem campos obrigatórios preenchidos;Cadastrar Entidade sem campos obrigatórios preenchidos;Reuse;;;4/20/2021
RiskControl;Register techonologies;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;4/20/2021
RiskControl;Register techonologies;;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Accepted;Low;;4/20/2021
RiskControl;Register techonologies;;Cadastrar Entidade com o ID de um previamente excluído;Cadastrar Entidade com o ID de um previamente excluído;Rejected;;Business compliance;4/20/2021
RiskControl;Register techonologies;;Validar ação sem conexão com servidor;Validar ação sem conexão com servidor;Accepted;Medium;;4/20/2021
RiskControl;Register techonologies;Cadastrar Entidade com campos inválidos;Cadastrar Entidade com campos inválidos;Cadastrar Entidade com campos inválidos;Reuse;;;4/20/2021
RiskControl;Register techonologies;;Executar ação sem ter feito login;Executar ação sem ter feito login;Accepted;Low;;4/20/2021
RiskControl;Edit Tecnology;Editar informações da entidade com sucesso;Editar informações da entidade com sucesso;Editar informações da entidade com sucesso;Reuse;;;5/10/2021
RiskControl;Edit Tecnology;;Editar entidade alterando o ID para um existente;Editar entidade alterando o ID para um existente;Rejected;;Business compliance;5/10/2021
RiskControl;Edit Tecnology;Editar entidade deixando os campos obrigatórios do formulário em branco;Editar entidade deixando os campos obrigatórios do formulário em branco;Editar entidade deixando os campos obrigatórios do formulário em branco;Reuse;;;5/10/2021
RiskControl;Edit Tecnology;Cancelar edição da entidade com sucesso;Cancelar edição da entidade com sucesso;Cancelar edição da entidade com sucesso;Reuse;;;5/10/2021
RiskControl;Edit Tecnology;;Verificar presença de campos retornados;Verificar presença de campos retornados;Accepted;Low;;5/10/2021
RiskControl;Edit Tecnology;;Verificar se todos os dados da entidade estão sendo exibidos;Verificar se todos os dados da entidade estão sendo exibidos;Accepted;Low;;5/10/2021
RiskControl;Edit Tecnology;;Verificar inserção de link de entidade inexistente;Verificar inserção de link de entidade inexistente;Accepted;Medium;;5/10/2021
RiskControl;Edit Tecnology;;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Accepted;Medium;;5/10/2021
RiskControl;Edit Tecnology;;Realizar ação com campo inválido;Realizar ação com campo inválido;Accepted;Low;;5/10/2021
RiskControl;Edit Tecnology;;Salvar com data inical maior que data final;Salvar com data inical maior que data final;Rejected;;Business compliance;5/10/2021
RiskControl;Edit Tecnology;;Cadastro de Sprint com fora do período do projeto;Cadastro de Sprint com fora do período do projeto;Rejected;;Not possible;5/10/2021
RiskControl;Edit Tecnology;;Cadastro de Sprint com período conflitante com outra sprint;Cadastro de Sprint com período conflitante com outra sprint;Rejected;;Not possible;5/10/2021
RiskControl;List Technologies;;Acessar tela sem estar autenticado na aplicação;Acessar tela sem estar autenticado na aplicação;Rejected;;Business compliance;5/10/2021
RiskControl;List Technologies;Listar todas as Entidades com sucesso;Listar todas as Entidades com sucesso;Listar todas as Entidades com sucesso;Reuse;;;5/10/2021
RiskControl;List Technologies;;Verificar presença de campos retornados;Verificar presença de campos retornados;Accepted;Low;;5/10/2021
RiskControl;List Technologies;Validar resultado da consulta de Entidade sem dados;Validar resultado da consulta de Entidade sem dados;Validar resultado da consulta de Entidade sem dados;Reuse;;;5/10/2021
RiskControl;List Technologies;Verificar paginação;Verificar paginação;Verificar paginação;Reuse;;;5/10/2021
RiskControl;List Technologies;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/10/2021
RiskControl;List Technologies;;Validar resultado da consulta (filtro) de Entidade;Validar resultado da consulta (filtro) de Entidade;Accepted;Medium;;5/10/2021
RiskControl;List Technologies;;Realizar ação com usuário inativo;Realizar ação com usuário inativo;Rejected;;Business compliance;5/10/2021
RiskControl;List Technologies;;Verificar comportamento do campo;Verificar comportamento do campo;Accepted;Medium;;5/10/2021
RiskControl;List Technologies;;Validar logout da aplicação;Validar logout da aplicação;Rejected;;Not possible;5/10/2021
RiskControl;List Technologies;;Visualizar dados da Entidade;Visualizar dados da Entidade;Accepted;Low;;5/10/2021
RiskControl;List Technologies;;Executar ação sem ter feito login;Executar ação sem ter feito login;Rejected;;Business compliance;5/10/2021
RiskControl;Delete Technology;Excluir <entidade> com sucesso;Excluir <entidade> com sucesso;Excluir <entidade> com sucesso;Reuse;;;5/10/2021
RiskControl;Delete Technology;;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Rejected;;Business compliance;5/10/2021
RiskControl;Delete Technology;Cancelar exclusão da entidade;Cancelar exclusão da entidade;Cancelar exclusão da entidade;Reuse;;;5/10/2021
RiskControl;Delete Technology;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/10/2021
RiskControl;Delete Technology;;Verificar presença de campos retornados;Verificar presença de campos retornados;Accepted;Low;;5/10/2021
RiskControl;Delete Technology;;Executar ação sem ter feito login;Executar ação sem ter feito login;Rejected;;Business compliance;5/10/2021
RiskControl;Create Strategy;Cadastrar <entidade> com sucesso;Cadastrar <entidade> com sucesso;Cadastrar <entidade> com sucesso;Reuse;;;5/10/2021
RiskControl;Create Strategy;Cancelar cadastro de <entidade> com sucesso;Cancelar cadastro de <entidade> com sucesso;Cancelar cadastro de <entidade> com sucesso;Reuse;;;5/10/2021
RiskControl;Create Strategy;;Cadastrar <entidade> com ID existente;Cadastrar <entidade> com ID existente;Rejected;;Business compliance;5/10/2021
RiskControl;Create Strategy;Cancelar cadastro de <entidade> com sucesso;Cadastrar <entidade> sem campos obrigatórios preenchidos;Cadastrar <entidade> sem campos obrigatórios preenchidos;Reuse;;;5/10/2021
RiskControl;Create Strategy;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/10/2021
RiskControl;Create Strategy;;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Accepted;Low;;5/10/2021
RiskControl;Create Strategy;Cadastrar <entidade> com o ID de um previamente excluído;Cadastrar <entidade> com o ID de um previamente excluído;Cadastrar <entidade> com o ID de um previamente excluído;Reuse;;;5/10/2021
RiskControl;Create Strategy;;Validar ação sem conexão com servidor;Validar ação sem conexão com servidor;Accepted;Medium;;5/10/2021
RiskControl;Create Strategy;;Cadastrar <entidade> com campos inválidos;Cadastrar <entidade> com campos inválidos;Accepted;High;;5/10/2021
RiskControl;Create Strategy;;Executar ação sem ter feito login;Executar ação sem ter feito login;Rejected;;Business compliance;5/10/2021
RiskControl;Edit Strategy;Cancelar edição da <entidade> com sucesso;Cancelar edição da <entidade> com sucesso;Cancelar edição da <entidade> com sucesso;Reuse;;;5/10/2021
RiskControl;Edit Strategy;Editar informações da <entidade> com sucesso;Editar informações da <entidade> com sucesso;Editar informações da <entidade> com sucesso;Reuse;;;5/10/2021
RiskControl;Edit Strategy;Editar entidade deixando os campos obrigatórios do formulário em branco;Editar entidade deixando os campos obrigatórios do formulário em branco;Editar entidade deixando os campos obrigatórios do formulário em branco;Reuse;;;5/10/2021
RiskControl;Edit Strategy;Verificar presença de campos retornados;Verificar presença de campos retornados;Verificar presença de campos retornados;Reuse;;;5/10/2021
RiskControl;Edit Strategy;;Verificar inserção de link de <entidade> inexistente;Verificar inserção de link de <entidade> inexistente;Rejected;;Business compliance;5/10/2021
RiskControl;Edit Strategy;;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Rejected;;Business compliance;5/10/2021
RiskControl;Edit Strategy;;Verificar se todos os dados da <entidade> estão sendo exibidos;Verificar se todos os dados da <entidade> estão sendo exibidos;Accepted;Low;;5/10/2021
RiskControl;Edit Strategy;;Salvar com data inical maior que data final;Salvar com data inical maior que data final;Rejected;;Business compliance;5/10/2021
RiskControl;Edit Strategy;;Editar entidade alterando o ID para um existente;Editar entidade alterando o ID para um existente;Rejected;;Business compliance;5/10/2021
RiskControl;List Strageties;Verificar presença de campos retornados;Verificar presença de campos retornados;Verificar presença de campos retornados;Reuse;;;5/10/2021
RiskControl;List Strageties;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/10/2021
RiskControl;List Strageties;Listar todas as <entidades> com sucesso;Listar todas as <entidades> com sucesso;Listar todas as <entidades> com sucesso;Reuse;;;5/10/2021
RiskControl;List Strageties;Validar resultado da consulta de <entidade> sem dados;Validar resultado da consulta de <entidade> sem dados;Validar resultado da consulta de <entidade> sem dados;Reuse;;;5/10/2021
RiskControl;List Strageties;Verificar paginação;Verificar paginação;Verificar paginação;Reuse;;;5/10/2021
RiskControl;List Strageties;;Realizar <ação> com usuário inativo;Realizar <ação> com usuário inativo;Rejected;;Business compliance;5/10/2021
RiskControl;List Strageties;;Verificar comportamento <comportamento> do campo <campo>;Verificar comportamento <comportamento> do campo <campo>;Rejected;;Business compliance;5/10/2021
RiskControl;List Strageties;;Validar logout da aplicação;Validar logout da aplicação;Rejected;;Business compliance;5/10/2021
RiskControl;List Strageties;;Acessar tela sem estar autenticado na aplicação;Acessar tela sem estar autenticado na aplicação;Rejected;;Business compliance;5/10/2021
RiskControl;List Strageties;Validar resultado da consulta (filtro) de <entidade>;Validar resultado da consulta (filtro) de <entidade>;Validar resultado da consulta (filtro) de <entidade>;Reuse;;;5/10/2021
RiskControl;Delete Strategy;Excluir <entidade> com sucesso;Excluir <entidade> com sucesso;Excluir <entidade> com sucesso;Reuse;;;5/10/2021
RiskControl;Delete Strategy;Cancelar exclusão da entidade;Cancelar exclusão da entidade;Cancelar exclusão da entidade;Reuse;;;5/10/2021
RiskControl;Delete Strategy;;Verificar presença de campos retornados;Verificar presença de campos retornados;Accepted;Low;;5/10/2021
RiskControl;Delete Strategy;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/10/2021
RiskControl;Delete Strategy;;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Rejected;;Business compliance;5/10/2021
TestRec;Create NFR;Cadastrar <entidade> com sucesso;Cadastrar <entidade> com sucesso;Cadastrar <entidade> com sucesso;Reuse;;;5/7/2021
TestRec;Create NFR;Cancelar cadastro de <entidade> com sucesso;Cancelar cadastro de <entidade> com sucesso;Cancelar cadastro de <entidade> com sucesso;Reuse;;;5/7/2021
TestRec;Create NFR;;Cadastrar <entidade> com ID existente;Cadastrar <entidade> com ID existente;Rejected;;Business compliance;5/7/2021
TestRec;Create NFR;Cadastrar <entidade> sem campos obrigatórios preenchidos;Cadastrar <entidade> sem campos obrigatórios preenchidos;Cadastrar <entidade> sem campos obrigatórios preenchidos;Reuse;;;5/7/2021
TestRec;Create NFR;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/7/2021
TestRec;Create NFR;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Reuse;;;5/7/2021
TestRec;Create NFR;;Cadastrar <entidade> com o ID de um previamente excluído;Cadastrar <entidade> com o ID de um previamente excluído;Rejected;;Business compliance;5/7/2021
TestRec;Create NFR;Validar ação sem conexão com servidor;Validar ação sem conexão com servidor;Validar ação sem conexão com servidor;Reuse;;;5/7/2021
TestRec;Create NFR;;Cadastrar <entidade> com campos inválidos;Cadastrar <entidade> com campos inválidos;Rejected;;Business compliance;5/7/2021
TestRec;Create NFR;;Executar ação sem ter feito login;Executar ação sem ter feito login;Rejected;;Business compliance;5/7/2021
TestRec;List NFRs;Verificar presença de campos retornados;Verificar presença de campos retornados;Verificar presença de campos retornados;Reuse;;;5/7/2021
TestRec;List NFRs;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/7/2021
TestRec;List NFRs;Listar todas as <entidades> com sucesso;Listar todas as <entidades> com sucesso;Listar todas as <entidades> com sucesso;Reuse;;;5/7/2021
TestRec;List NFRs;Validar resultado da consulta de <entidade> sem dados;Validar resultado da consulta de <entidade> sem dados;Validar resultado da consulta de <entidade> sem dados;Reuse;;;5/7/2021
TestRec;List NFRs;Verificar paginação;Verificar paginação;Verificar paginação;Reuse;;;5/7/2021
TestRec;List NFRs;;Realizar <ação> com usuário inativo;Realizar <ação> com usuário inativo;Rejected;;Business compliance;5/7/2021
TestRec;List NFRs;;Verificar comportamento <comportamento> do campo <campo>;Verificar comportamento <comportamento> do campo <campo>;Rejected;;Business compliance;5/7/2021
TestRec;List NFRs;;Validar logout da aplicação;Validar logout da aplicação;Rejected;;Business compliance;5/7/2021
TestRec;List NFRs;;Acessar tela sem estar autenticado na aplicação;Acessar tela sem estar autenticado na aplicação;Accepted;Low;;5/7/2021
TestRec;List NFRs;;Validar resultado da consulta (filtro) de <entidade>;Validar resultado da consulta (filtro) de <entidade>;Rejected;;Business compliance;5/7/2021
TestRec;Edit NFR;Cancelar edição da <entidade> com sucesso;Cancelar edição da <entidade> com sucesso;Cancelar edição da <entidade> com sucesso;Reuse;;;5/21/2021
TestRec;Edit NFR;Editar informações da <entidade> com sucesso;Editar informações da <entidade> com sucesso;Editar informações da <entidade> com sucesso;Reuse;;;5/21/2021
TestRec;Edit NFR;Editar entidade deixando os campos obrigatórios do formulário em branco;Editar entidade deixando os campos obrigatórios do formulário em branco;Editar entidade deixando os campos obrigatórios do formulário em branco;Reuse;;;5/21/2021
TestRec;Edit NFR;Verificar presença de campos retornados;Verificar presença de campos retornados;Verificar presença de campos retornados;Reuse;;;5/21/2021
TestRec;Edit NFR;Verificar inserção de link de <entidade> inexistente;Verificar inserção de link de <entidade> inexistente;Verificar inserção de link de <entidade> inexistente;Reuse;;;5/21/2021
TestRec;Edit NFR;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Reuse;;;5/21/2021
TestRec;Edit NFR;;Verificar se todos os dados da <entidade> estão sendo exibidos;Verificar se todos os dados da <entidade> estão sendo exibidos;Accepted;Low;;5/21/2021
TestRec;Edit NFR;;Salvar com data inical maior que data final;Salvar com data inical maior que data final;Rejected;;Business compliance;5/21/2021
TestRec;Edit NFR;;Editar entidade alterando o ID para um existente;Editar entidade alterando o ID para um existente;Rejected;;Business compliance;5/21/2021
TestRec;Delete NFR;Excluir <entidade> com sucesso;Excluir <entidade> com sucesso;Excluir <entidade> com sucesso;Reuse;;;5/21/2021
TestRec;Delete NFR;Cancelar exclusão da entidade;Cancelar exclusão da entidade;Cancelar exclusão da entidade;Reuse;;;5/21/2021
TestRec;Delete NFR;;Verificar presença de campos retornados;Verificar presença de campos retornados;Rejected;;Business compliance;5/21/2021
TestRec;Delete NFR;;Verificar acesso por papéis;Verificar acesso por papéis;Rejected;;Business compliance;5/21/2021
TestRec;Delete NFR;;Fechar a tela antes de excutar ação;Fechar a tela antes de excutar ação;Accepted;Low;;5/21/2021
