Precision,Recall,FMeasure,Configuracao
0.5,0.375,0.631578947368421,cosine_False_1
0.375,0.21428571428571427,0.375,cosine_False_1
0.7142857142857143,0.5,0.851063829787234,cosine_False_1
0.6,0.6,0.96,cosine_False_1
0.8571428571428571,0.75,1.2307692307692306,cosine_False_1
0.3333333333333333,0.5,0.7272727272727273,cosine_False_1
0.2,1.0,0.888888888888889,cosine_False_1
0.16666666666666666,0.3333333333333333,0.4444444444444444,cosine_False_1
0.6,0.6,0.96,cosine_False_1
0.3333333333333333,0.5,0.7272727272727273,cosine_False_1
1.0,0.875,1.435897435897436,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.6,0.5,0.8275862068965517,cosine_False_1
0.6666666666666666,0.3333333333333333,0.5925925925925926,cosine_False_1
0.8571428571428571,1.0,1.5483870967741933,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.16666666666666666,0.3333333333333333,0.4444444444444444,cosine_False_1
0.6,0.375,0.6486486486486486,cosine_False_1
0.0,0.0,0.0,cosine_False_1
1.0,0.09090909090909091,0.17777777777777778,cosine_False_1
0.75,0.8571428571428571,1.3333333333333333,cosine_False_1
0.125,0.3333333333333333,0.4,cosine_False_1
0.375,0.42857142857142855,0.6666666666666666,cosine_False_1
0.2,1.0,0.888888888888889,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.375,0.375,0.6,cosine_False_1
0.2,1.0,0.888888888888889,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.25,1.0,1.0,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.2,1.0,0.888888888888889,cosine_False_1
0.625,0.4166666666666667,0.7142857142857144,cosine_False_1
1.0,0.75,1.263157894736842,cosine_False_1
0.8333333333333334,0.4166666666666667,0.7407407407407408,cosine_False_1
0.16666666666666666,0.5,0.5714285714285715,cosine_False_1
0.5,0.3333333333333333,0.5714285714285714,cosine_False_1
0.16666666666666666,0.14285714285714285,0.23529411764705882,cosine_False_1
0.2,0.25,0.38095238095238093,cosine_False_1
1.0,0.1111111111111111,0.21621621621621623,cosine_False_1
0.125,1.0,0.6666666666666666,cosine_False_1
1.0,0.3333333333333333,0.6153846153846154,cosine_False_1
1.0,0.2,0.38095238095238093,cosine_False_1
0.25,0.2857142857142857,0.4444444444444445,cosine_False_1
0.5,0.14285714285714285,0.26666666666666666,cosine_False_1
0.375,0.375,0.6,cosine_False_1
0.125,0.3333333333333333,0.4,cosine_False_1
1.0,0.25,0.47058823529411764,cosine_False_1
0.5,0.5,0.8,cosine_False_1
0.5,0.36363636363636365,0.6153846153846154,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.0,0.0,0.0,cosine_False_1
1.0,0.5,0.8888888888888888,cosine_False_1
1.0,0.16666666666666666,0.31999999999999995,cosine_False_1
0.375,0.5,0.75,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.16666666666666666,0.25,0.36363636363636365,cosine_False_1
0.5,0.16666666666666666,0.3076923076923077,cosine_False_1
1.0,0.75,1.263157894736842,cosine_False_1
0.5,0.375,0.631578947368421,cosine_False_1
0.7142857142857143,0.5555555555555556,0.9302325581395349,cosine_False_1
0.14285714285714285,0.2,0.29629629629629634,cosine_False_1
0.7142857142857143,0.45454545454545453,0.7843137254901961,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.3333333333333333,0.2222222222222222,0.380952380952381,cosine_False_1
0.2,0.16666666666666666,0.27586206896551724,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.125,0.1111111111111111,0.1818181818181818,cosine_False_1
0.4,0.2857142857142857,0.48484848484848486,cosine_False_1
0.3333333333333333,0.1,0.18604651162790697,cosine_False_1
0.375,0.375,0.6,cosine_False_1
0.25,0.25,0.4,cosine_False_1
0.6666666666666666,0.3333333333333333,0.5925925925925926,cosine_False_1
1.0,0.25,0.47058823529411764,cosine_False_1
0.4444444444444444,0.36363636363636365,0.6037735849056604,cosine_False_1
0.8,0.5,0.8648648648648649,cosine_False_1
1.0,0.12,0.23300970873786406,cosine_False_1
0.8,0.3333333333333333,0.6037735849056604,cosine_False_1
0.625,0.625,1.0,cosine_False_1
0.125,0.14285714285714285,0.22222222222222224,cosine_False_1
0.2857142857142857,1.0,1.0666666666666667,cosine_False_1
1.0,0.3333333333333333,0.6153846153846154,cosine_False_1
0.6,0.5,0.8275862068965517,cosine_False_1
0.6,1.0,1.411764705882353,cosine_False_1
0.1111111111111111,0.5,0.47058823529411764,cosine_False_1
0.125,0.5,0.5,cosine_False_1
0.2,1.0,0.888888888888889,cosine_False_1
0.5,0.3333333333333333,0.5714285714285714,cosine_False_1
0.5,0.6,0.923076923076923,cosine_False_1
1.0,0.2857142857142857,0.5333333333333333,cosine_False_1
1.0,1.0,1.6,cosine_False_1
1.0,1.0,1.6,cosine_False_1
0.6666666666666666,0.5,0.8421052631578947,cosine_False_1
0.8,0.8,1.2800000000000002,cosine_False_1
1.0,1.0,1.6,cosine_False_1
0.8,0.4444444444444444,0.7804878048780487,cosine_False_1
0.75,1.0,1.5,cosine_False_1
0.6,0.6,0.96,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.125,0.3333333333333333,0.4,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.5,0.5,0.8,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.0,0.0,0.0,cosine_False_1
0.5,0.6666666666666666,1.0,cosine_False_1
1.0,1.0,1.6,cosine_False_1
0.8,0.5,0.8648648648648649,cosine_False_1
0.125,0.2,0.28571428571428575,cosine_False_1
1.0,0.6,1.0434782608695652,cosine_False_1
0.2,1.0,0.888888888888889,cosine_False_1
1.0,1.0,1.6,cosine_False_1
0.75,0.8571428571428571,1.3333333333333333,cosine_False_1
0.8,0.6666666666666666,1.103448275862069,cosine_False_1
1.0,1.0,1.6,cosine_False_1
1.0,0.7142857142857143,1.2121212121212122,cosine_False_1
1.0,0.7142857142857143,1.2121212121212122,cosine_False_1
1.0,1.0,1.6,cosine_False_1
0.75,0.8571428571428571,1.3333333333333333,cosine_False_1
