ID,Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
1,0.5,375,0.5625,cosine_False_1,1,cosine,nao
2,375,0.21428571428571427,0.3417721518987342,cosine_False_1,1,cosine,nao
3,0.7142857142857143,0.5,0.7627118644067796,cosine_False_1,1,cosine,nao
4,0.6,0.6,0.8307692307692308,cosine_False_1,1,cosine,nao
5,0.8571428571428571,0.75,1.0799999999999998,cosine_False_1,1,cosine,nao
6,0.3333333333333333,0.5,0.6,cosine_False_1,1,cosine,nao
7,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
8,0.16666666666666666,0.3333333333333333,0.35294117647058826,cosine_False_1,1,cosine,nao
9,0.6,0.6,0.8307692307692308,cosine_False_1,1,cosine,nao
10,0.3333333333333333,0.5,0.6,cosine_False_1,1,cosine,nao
11,1.0,875,1.26,cosine_False_1,1,cosine,nao
12,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
13,0.6,0.5,0.7297297297297297,cosine_False_1,1,cosine,nao
14,0.6666666666666666,0.3333333333333333,0.5454545454545455,cosine_False_1,1,cosine,nao
15,0.8571428571428571,1.0,1.3170731707317074,cosine_False_1,1,cosine,nao
16,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
17,0.16666666666666666,0.3333333333333333,0.35294117647058826,cosine_False_1,1,cosine,nao
18,0.6,375,0.5869565217391305,cosine_False_1,1,cosine,nao
19,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
20,1.0,0.09090909090909091,0.17475728155339806,cosine_False_1,1,cosine,nao
21,0.75,0.8571428571428571,1.1368421052631579,cosine_False_1,1,cosine,nao
22,125,0.3333333333333333,0.3050847457627119,cosine_False_1,1,cosine,nao
23,375,0.42857142857142855,0.5684210526315789,cosine_False_1,1,cosine,nao
24,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
25,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
26,375,375,0.5192307692307693,cosine_False_1,1,cosine,nao
27,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
28,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
29,0.25,1.0,0.72,cosine_False_1,1,cosine,nao
30,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
31,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
32,625,0.4166666666666667,0.6428571428571428,cosine_False_1,1,cosine,nao
33,1.0,0.75,1125,cosine_False_1,1,cosine,nao
34,0.8333333333333334,0.4166666666666667,0.6818181818181819,cosine_False_1,1,cosine,nao
35,0.16666666666666666,0.5,0.42857142857142855,cosine_False_1,1,cosine,nao
36,0.5,0.3333333333333333,0.5142857142857143,cosine_False_1,1,cosine,nao
37,0.16666666666666666,0.14285714285714285,0.20689655172413796,cosine_False_1,1,cosine,nao
38,0.2,0.25,0.32142857142857145,cosine_False_1,1,cosine,nao
39,1.0,0.1111111111111111,0.21176470588235294,cosine_False_1,1,cosine,nao
40,125,1.0,0.43902439024390244,cosine_False_1,1,cosine,nao
41,1.0,0.3333333333333333,0.5806451612903225,cosine_False_1,1,cosine,nao
42,1.0,0.2,0.36734693877551017,cosine_False_1,1,cosine,nao
43,0.25,0.2857142857142857,0.3789473684210526,cosine_False_1,1,cosine,nao
44,0.5,0.14285714285714285,0.2535211267605634,cosine_False_1,1,cosine,nao
45,375,375,0.5192307692307693,cosine_False_1,1,cosine,nao
46,125,0.3333333333333333,0.3050847457627119,cosine_False_1,1,cosine,nao
47,1.0,0.25,0.45,cosine_False_1,1,cosine,nao
48,0.5,0.5,0.6923076923076923,cosine_False_1,1,cosine,nao
49,0.5,0.36363636363636365,0.549618320610687,cosine_False_1,1,cosine,nao
50,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
51,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
52,1.0,0.5,0.8181818181818182,cosine_False_1,1,cosine,nao
53,1.0,0.16666666666666666,0.3103448275862069,cosine_False_1,1,cosine,nao
54,375,0.5,0.627906976744186,cosine_False_1,1,cosine,nao
55,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
56,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
57,0.16666666666666666,0.25,0.3,cosine_False_1,1,cosine,nao
58,0.5,0.16666666666666666,0.29032258064516125,cosine_False_1,1,cosine,nao
59,1.0,0.75,1125,cosine_False_1,1,cosine,nao
60,0.5,375,0.5625,cosine_False_1,1,cosine,nao
61,0.7142857142857143,0.5555555555555556,0.8256880733944953,cosine_False_1,1,cosine,nao
62,0.14285714285714285,0.2,0.24657534246575344,cosine_False_1,1,cosine,nao
63,0.7142857142857143,0.45454545454545453,0.7086614173228346,cosine_False_1,1,cosine,nao
64,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
65,0.3333333333333333,0.2222222222222222,0.34285714285714286,cosine_False_1,1,cosine,nao
66,0.2,0.16666666666666666,0.24324324324324323,cosine_False_1,1,cosine,nao
67,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
68,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
69,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
70,125,0.1111111111111111,0.1592920353982301,cosine_False_1,1,cosine,nao
71,0.4,0.2857142857142857,0.4337349397590361,cosine_False_1,1,cosine,nao
72,0.3333333333333333,0.1,0.17647058823529416,cosine_False_1,1,cosine,nao
73,375,375,0.5192307692307693,cosine_False_1,1,cosine,nao
74,0.25,0.25,0.34615384615384615,cosine_False_1,1,cosine,nao
75,0.6666666666666666,0.3333333333333333,0.5454545454545455,cosine_False_1,1,cosine,nao
76,1.0,0.25,0.45,cosine_False_1,1,cosine,nao
77,0.4444444444444444,0.36363636363636365,0.5333333333333333,cosine_False_1,1,cosine,nao
78,0.8,0.5,0.782608695652174,cosine_False_1,1,cosine,nao
79,1.0,0.12,0.22784810126582278,cosine_False_1,1,cosine,nao
80,0.8,0.3333333333333333,0.5625,cosine_False_1,1,cosine,nao
81,625,625,0.8653846153846154,cosine_False_1,1,cosine,nao
